anio,codigo_cie,seccion,industria,valor,unidad,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion
2021,75,"R - S - U -Arte, entretenimiento y otras actividades de servicios","Servicios de asociaciones, personales; esparcimiento; culturales y deportivos",252112.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40432,2021_75,2026-07-09
2022,75,"R - S - U -Arte, entretenimiento y otras actividades de servicios","Servicios de asociaciones, personales; esparcimiento; culturales y deportivos",260976.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40433,2022_75,2026-07-09
2023,75,"R - S - U -Arte, entretenimiento y otras actividades de servicios","Servicios de asociaciones, personales; esparcimiento; culturales y deportivos",269471.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40434,2023_75,2026-07-09
2024P,75,"R - S - U -Arte, entretenimiento y otras actividades de servicios","Servicios de asociaciones, personales; esparcimiento; culturales y deportivos",265904.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40435,2024P_75,2026-07-09
2018,309360,"Total R - S - U -Arte, entretenimiento y otras actividades de servicios",244456,276180.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40436,2018_309360,2026-07-09
2019,309360,"Total R - S - U -Arte, entretenimiento y otras actividades de servicios",244456,252112.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40437,2019_309360,2026-07-09
2019,117366,Total J -InformaciÃ³n y comunicaciÃ³n,93593,75667.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40353,2019_117366,2026-07-09
2020,117366,Total J -InformaciÃ³n y comunicaciÃ³n,93593,81393.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40354,2020_117366,2026-07-09
2021,117366,Total J -InformaciÃ³n y comunicaciÃ³n,93593,84243.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40355,2021_117366,2026-07-09
2022,117366,Total J -InformaciÃ³n y comunicaciÃ³n,93593,102538.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40356,2022_117366,2026-07-09
2018,65,K -Actividades financieras y de seguros,"Actividades de servicios financieros, excepto las de seguros y fondos de pensiones",77062.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40357,2018_65,2026-07-09
2019,65,K -Actividades financieras y de seguros,"Actividades de servicios financieros, excepto las de seguros y fondos de pensiones",75899.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40358,2019_65,2026-07-09
2020,65,K -Actividades financieras y de seguros,"Actividades de servicios financieros, excepto las de seguros y fondos de pensiones",59588.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40359,2020_65,2026-07-09
2021,65,K -Actividades financieras y de seguros,"Actividades de servicios financieros, excepto las de seguros y fondos de pensiones",73173.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40360,2021_65,2026-07-09
2022,65,K -Actividades financieras y de seguros,"Actividades de servicios financieros, excepto las de seguros y fondos de pensiones",81601.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40361,2022_65,2026-07-09
2023,65,K -Actividades financieras y de seguros,"Actividades de servicios financieros, excepto las de seguros y fondos de pensiones",141165.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40362,2023_65,2026-07-09
2024P,65,K -Actividades financieras y de seguros,"Actividades de servicios financieros, excepto las de seguros y fondos de pensiones",121116.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40363,2024P_65,2026-07-09
2018,110304,Total K -Actividades financieras y de seguros,105223,81799.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40364,2018_110304,2026-07-09
2019,110304,Total K -Actividades financieras y de seguros,105223,94425.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40365,2019_110304,2026-07-09
2020,110304,Total K -Actividades financieras y de seguros,105223,112191.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40366,2020_110304,2026-07-09
2021,110304,Total K -Actividades financieras y de seguros,105223,169531.0,NÃºmero de personas,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/TOTAL_EMPLEO,40367,2021_110304,2026-07-09
