encuesta,periodo_original,anio_fiscal,mes_fiscal,nombre_indicador,total_nacional,total_urbana,total_rural
ENEMDU,jun-16,2016,6,Poblaciï¿½n Econï¿½micamente Inactiva,3725303,2811617,913687
ENEMDU,sep-16,2016,9,Poblaciï¿½n en Edad de Trabajar (PET),11639325,8091394,3547931
ENEMDU,sep-16,2016,9,Poblaciï¿½n Econï¿½micamente Activa,8057159,5363829,2693330
ENEMDU,sep-16,2016,9,Empleo,7637986,5005457,2632529
ENEMDU,sep-16,2016,9,Empleo Adecuado/Pleno,3154513,2546754,607759
ENEMDU,sep-16,2016,9,Subempleo,1560342,963920,596421
ENEMDU,sep-16,2016,9,Subempleo por insuficiencia de tiempo de trabajo,1272473,807076,465397
ENEMDU,sep-16,2016,9,Subempleo por insuficiencia de ingresos,287869,156845,131024
ENEMDU,sep-16,2016,9,Empleo no remunerado,834147,292263,541884
ENEMDU,sep-16,2016,9,Otro Empleo no pleno,2063849,1182648,881202
ENEMDU,sep-16,2016,9,Empleo no clasificado,25135,19871,5264
ENEMDU,sep-16,2016,9,Desempleo,419173,358372,60802
ENEMDU,jun-13,2013,6,Subempleo por insuficiencia de ingresos,147180,86811,60369
ENEMDU,jun-13,2013,6,Empleo no remunerado,669102,227170,441931
ENEMDU,jun-13,2013,6,Otro Empleo no pleno,2145528,1130495,1015033
ENEMDU,jun-13,2013,6,Empleo no clasificado,94558,89522,5036
ENEMDU,jun-13,2013,6,Desempleo,273951,225105,48845
ENEMDU,jun-13,2013,6,Desempleo Abierto,218894,188644,30250
ENEMDU,jun-13,2013,6,Desempleo Oculto,55057,36462,18595
ENEMDU,jun-13,2013,6,Desempleo Cesante,185092,155945,29147
ENEMDU,jun-13,2013,6,Desempleo Nuevo,88859,69161,19698
ENEMDU,jun-13,2013,6,Poblaciï¿½n Econï¿½micamente Inactiva,3993794,2785957,1207836
ENEMDU,jun-13,2013,6,Subempleo,818126,528550,289576
ENEMDU,jun-13,2013,6,Subempleo por insuficiencia de tiempo de trabajo,670946,441739,229207
ENEMDU,jun-16,2016,6,Empleo Adecuado/Pleno,3214776,2621987,592789
ENEMDU,jun-16,2016,6,Subempleo,1277717,801621,476096
ENEMDU,jun-16,2016,6,Subempleo por insuficiencia de tiempo de trabajo,1060671,678760,381911
ENEMDU,jun-16,2016,6,Subempleo por insuficiencia de ingresos,217045,122861,94185
ENEMDU,jun-16,2016,6,Empleo no remunerado,759390,251728,507662
ENEMDU,jun-16,2016,6,Otro Empleo no pleno,2138678,1195585,943092
ENEMDU,jun-16,2016,6,Empleo no clasificado,24539,18975,5564
ENEMDU,mar-16,2016,3,Desempleo Nuevo,81992,71168,10824
ENEMDU,mar-16,2016,3,Poblaciï¿½n Econï¿½micamente Inactiva,3605856,2692809,913048
ENEMDU,jun-16,2016,6,Poblaciï¿½n Total,16560742,11285239,5275503
ENEMDU,jun-16,2016,6,Poblaciï¿½n menor de 15 aï¿½os,5003458,3233917,1769541
ENEMDU,jun-16,2016,6,Poblaciï¿½n en Edad de Trabajar (PET),11557285,8051323,3505962
ENEMDU,jun-16,2016,6,Poblaciï¿½n Econï¿½micamente Activa,7831981,5239706,2592275
ENEMDU,jun-16,2016,6,Empleo,7415099,4889895,2525203
ENEMDU,dic-09,2009,12,Desempleo Abierto,294590,265013,29576
