anio,codigo_cie,seccion,industria,valor,unidad,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion
2021,1087372,"Total R - S - U -Arte, entretenimiento y otras actividades de servicios",1177071,1189363.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40199,2021_1087372,2026-07-09
2024P,69,"M - N -Actividades profesionales, tÃ©cnicas","Actividades profesionales, cientÃ­ficas, tÃ©cnicas y administrativas",8457864.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40147,2024P_69,2026-07-09
2018,7768852,"Total M - N -Actividades profesionales, tÃ©cnicas",7750344,6731403.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40148,2018_7768852,2026-07-09
2019,7768852,"Total M - N -Actividades profesionales, tÃ©cnicas",7750344,7310324.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40149,2019_7768852,2026-07-09
2020,7768852,"Total M - N -Actividades profesionales, tÃ©cnicas",7750344,7920924.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40150,2020_7768852,2026-07-09
2021,7768852,"Total M - N -Actividades profesionales, tÃ©cnicas",7750344,8410829.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40151,2021_7768852,2026-07-09
2022,7768852,"Total M - N -Actividades profesionales, tÃ©cnicas",7750344,8457864.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40152,2022_7768852,2026-07-09
2018,70,O -AdministraciÃ³n pÃºblica,AdministraciÃ³n pÃºblica y defensa; planes de seguridad social de afiliaciÃ³n obligatoria,8020002.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40153,2018_70,2026-07-09
2019,70,O -AdministraciÃ³n pÃºblica,AdministraciÃ³n pÃºblica y defensa; planes de seguridad social de afiliaciÃ³n obligatoria,8003155.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40154,2019_70,2026-07-09
2020,70,O -AdministraciÃ³n pÃºblica,AdministraciÃ³n pÃºblica y defensa; planes de seguridad social de afiliaciÃ³n obligatoria,7955241.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40155,2020_70,2026-07-09
2021,70,O -AdministraciÃ³n pÃºblica,AdministraciÃ³n pÃºblica y defensa; planes de seguridad social de afiliaciÃ³n obligatoria,7881308.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40156,2021_70,2026-07-09
2022,1087372,"Total R - S - U -Arte, entretenimiento y otras actividades de servicios",1177071,1153037.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40200,2022_1087372,2026-07-09
2018,76,T -Actividades de los Hogares como empleadores,Actividades de los hogares como empleadores de personal domÃ©stico,847047.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40201,2018_76,2026-07-09
2019,76,T -Actividades de los Hogares como empleadores,Actividades de los hogares como empleadores de personal domÃ©stico,912513.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40202,2019_76,2026-07-09
2020,76,T -Actividades de los Hogares como empleadores,Actividades de los hogares como empleadores de personal domÃ©stico,653703.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40203,2020_76,2026-07-09
2021,76,T -Actividades de los Hogares como empleadores,Actividades de los hogares como empleadores de personal domÃ©stico,709587.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40204,2021_76,2026-07-09
2022,76,T -Actividades de los Hogares como empleadores,Actividades de los hogares como empleadores de personal domÃ©stico,782321.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40205,2022_76,2026-07-09
2023,76,T -Actividades de los Hogares como empleadores,Actividades de los hogares como empleadores de personal domÃ©stico,832526.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40206,2023_76,2026-07-09
2024P,76,T -Actividades de los Hogares como empleadores,Actividades de los hogares como empleadores de personal domÃ©stico,867453.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40207,2024P_76,2026-07-09
2018,847047,Total T -Actividades de los Hogares como empleadores,912513,653703.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40208,2018_847047,2026-07-09
2022,70,O -AdministraciÃ³n pÃºblica,AdministraciÃ³n pÃºblica y defensa; planes de seguridad social de afiliaciÃ³n obligatoria,8252090.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40157,2022_70,2026-07-09
2023,70,O -AdministraciÃ³n pÃºblica,AdministraciÃ³n pÃºblica y defensa; planes de seguridad social de afiliaciÃ³n obligatoria,8446015.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40158,2023_70,2026-07-09
2024P,70,O -AdministraciÃ³n pÃºblica,AdministraciÃ³n pÃºblica y defensa; planes de seguridad social de afiliaciÃ³n obligatoria,8635852.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40159,2024P_70,2026-07-09
2019,847047,Total T -Actividades de los Hogares como empleadores,912513,709587.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40209,2019_847047,2026-07-09
2020,847047,Total T -Actividades de los Hogares como empleadores,912513,782321.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40210,2020_847047,2026-07-09
2021,847047,Total T -Actividades de los Hogares como empleadores,912513,832526.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40211,2021_847047,2026-07-09
2022,847047,Total T -Actividades de los Hogares como empleadores,912513,867453.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40212,2022_847047,2026-07-09
2019,4017074,Total K -Actividades financieras y de seguros,4167908.9999999995,4309643.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40125,2019_4017074,2026-07-09
2020,4017074,Total K -Actividades financieras y de seguros,4167908.9999999995,5044137.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40126,2020_4017074,2026-07-09
2020,73,Q -Salud y asistencia social,Actividades de atenciÃ³n de la salud humana y de asistencia social privada,1423610.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40179,2020_73,2026-07-09
2021,73,Q -Salud y asistencia social,Actividades de atenciÃ³n de la salud humana y de asistencia social privada,1726811.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40180,2021_73,2026-07-09
2022,73,Q -Salud y asistencia social,Actividades de atenciÃ³n de la salud humana y de asistencia social privada,1900484.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40181,2022_73,2026-07-09
2023,73,Q -Salud y asistencia social,Actividades de atenciÃ³n de la salud humana y de asistencia social privada,1935175.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40182,2023_73,2026-07-09
2021,4017074,Total K -Actividades financieras y de seguros,4167908.9999999995,5438137.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40127,2021_4017074,2026-07-09
2024P,73,Q -Salud y asistencia social,Actividades de atenciÃ³n de la salud humana y de asistencia social privada,1869038.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40183,2024P_73,2026-07-09
2018,4111156,Total Q -Salud y asistencia social,4237764,4213823.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40184,2018_4111156,2026-07-09
2019,4111156,Total Q -Salud y asistencia social,4237764,4346745.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40185,2019_4111156,2026-07-09
2020,4111156,Total Q -Salud y asistencia social,4237764,4536224.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40186,2020_4111156,2026-07-09
2021,4111156,Total Q -Salud y asistencia social,4237764,4652310.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40187,2021_4111156,2026-07-09
2022,4111156,Total Q -Salud y asistencia social,4237764,4653785.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40188,2022_4111156,2026-07-09
2018,75,"R - S - U -Arte, entretenimiento y otras actividades de servicios","Servicios de asociaciones, personales; esparcimiento; culturales y deportivos",1087372.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40189,2018_75,2026-07-09
2019,75,"R - S - U -Arte, entretenimiento y otras actividades de servicios","Servicios de asociaciones, personales; esparcimiento; culturales y deportivos",1177071.0,Miles de USD,Banco Central del Ecuador,BCE/MATRIZ_EMPLEO/VAB,40190,2019_75,2026-07-09
