anio_censo,provincia,canton,sexo,rango_edad,total_ocupados,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion,ramas_actividad_agricultura_pesca,ramas_actividad_minas_canteras,ramas_actividad_industrias_manufactureras,ramas_actividad_electricidad_gas,ramas_actividad_agua_saneamiento,ramas_actividad_construccion,ramas_actividad_comercio,ramas_actividad_transporte_almacenamiento,ramas_actividad_alojamiento_comidas,ramas_actividad_informacion_comunicacion,ramas_actividad_financieras_seguros,ramas_actividad_inmobiliarias,ramas_actividad_profesionales_cientificas,ramas_actividad_servicios_administrativos,ramas_actividad_administracion_publica,ramas_actividad_ensenanza,ramas_actividad_salud_asistencia,ramas_actividad_arte_entretenimiento,ramas_actividad_otros_servicios,ramas_actividad_hogares_empleadores,ramas_actividad_organizaciones_extraterritoriales,ramas_actividad_no_clasificado
2022,Manabï¿½,Total Manabï¿½,Hombres,De 35-39,41,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,23656,2022_manab_totalmanab_hombres_de3539,2026-07-09,234,12,74,61,3,545,314,294,3,752,5,613,2,844,1,67,343,214,98,613,1,181
2022,Manabï¿½,Total Manabï¿½,Hombres,De 40-44,39,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,23657,2022_manab_totalmanab_hombres_de4044,2026-07-09,992,11,927,51,3,261,212,271,3,671,5,536,3,196,1,18,271,163,106,522,1,94
2022,Manabï¿½,Chone,Hombres,De 65-69,1,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,23806,2022_manab_chone_hombres_de6569,2026-07-09,295,476,0,33,2,5,49,136,72,17,2,3,1,20,6,14,9,15,3,9,2,0
2022,Manabï¿½,Chone,Hombres,De 70-74,777,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,23807,2022_manab_chone_hombres_de7074,2026-07-09,262,0,23,0,3,17,66,24,10,0,0,1,3,8,2,4,7,0,6,1,0,340
2022,Manabï¿½,Chone,Hombres,De 75-79,379,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,23808,2022_manab_chone_hombres_de7579,2026-07-09,101,0,9,0,0,4,31,8,2,0,0,0,0,2,1,0,2,1,3,0,0,215
2022,Manabï¿½,Bolï¿½var,Mujeres,De 60-64,264,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,23773,2022_manab_bolvar_mujeres_de6064,2026-07-09,2,0,17,0,0,1,23,2,16,1,2,0,3,1,10,12,3,1,7,13,0,150
2022,Manabï¿½,Bolï¿½var,Mujeres,De 65-69,191,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,23774,2022_manab_bolvar_mujeres_de6569,2026-07-09,3,0,23,0,0,0,19,1,10,0,0,1,3,2,4,2,2,2,2,1,0,116
2022,Manabï¿½,Bolï¿½var,Mujeres,De 70-74,98,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,23775,2022_manab_bolvar_mujeres_de7074,2026-07-09,4,0,6,0,0,1,10,0,2,1,0,0,0,0,1,1,0,0,1,0,0,71
2022,Manabï¿½,Flavio Alfaro,Mujeres,De 65-69,168,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,23918,2022_manab_flavioalfaro_mujeres_de6569,2026-07-09,3,0,7,0,0,0,12,0,4,0,0,1,0,0,4,3,3,0,1,5,0,125
2022,Manabï¿½,Flavio Alfaro,Mujeres,De 70-74,115,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/RAMAS_ACTIVIDAD,23919,2022_manab_flavioalfaro_mujeres_de7074,2026-07-09,1,0,0,0,0,0,6,0,2,0,0,0,0,0,2,0,0,0,0,2,0,102
