periodo_fiscal,fecha_publicacion,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion,metricas_iee_global,metricas_comercio,metricas_construccion,metricas_manufactura,metricas_servicios
2022-06,2022-06-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80498,2022-06,2026-07-09,49.0,46.7,58.0,48.2,48.8
2022-07,2022-07-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80499,2022-07,2026-07-09,59.3,57.6,54.3,58.4,61.5
2022-08,2022-08-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80500,2022-08,2026-07-09,57.2,57.4,54.7,53.0,59.4
2022-09,2022-09-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80501,2022-09,2026-07-09,52.4,54.5,54.0,48.4,52.9
2022-10,2022-10-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80502,2022-10,2026-07-09,56.1,57.0,57.8,48.8,58.6
2022-11,2022-11-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80503,2022-11,2026-07-09,52.6,53.6,51.7,44.6,55.8
2022-12,2022-12-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80504,2022-12,2026-07-09,52.5,50.9,56.4,46.6,55.4
2023-01,2023-01-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80505,2023-01,2026-07-09,46.9,42.9,53.2,46.3,48.0
2020-10,2020-10-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80478,2020-10,2026-07-09,57.9,63.0,48.5,57.3,57.4
2020-11,2020-11-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80479,2020-11,2026-07-09,51.6,55.0,50.7,46.3,52.5
2020-12,2020-12-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80480,2020-12,2026-07-09,48.5,51.1,45.1,49.8,47.1
2021-01,2021-01-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80481,2021-01,2026-07-09,41.5,37.7,44.3,44.0,41.8
2021-02,2021-02-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80482,2021-02,2026-07-09,50.4,52.0,49.2,51.2,49.4
2021-03,2021-03-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80483,2021-03,2026-07-09,58.0,62.1,44.6,60.6,57.2
2021-04,2021-04-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80484,2021-04,2026-07-09,53.3,54.0,54.8,52.4,53.0
2021-05,2021-05-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80485,2021-05,2026-07-09,53.2,53.8,48.4,54.1,53.3
2021-06,2021-06-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80486,2021-06,2026-07-09,58.0,60.0,50.2,57.3,58.7
2021-07,2021-07-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80487,2021-07,2026-07-09,54.6,57.0,50.9,52.8,54.8
2023-02,2023-02-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80506,2023-02,2026-07-09,52.2,52.2,58.7,45.3,54.1
2023-03,2023-03-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80507,2023-03,2026-07-09,61.4,65.7,46.9,58.2,63.2
2023-04,2023-04-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80508,2023-04,2026-07-09,50.9,55.3,44.6,42.8,53.5
2021-08,2021-08-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80488,2021-08,2026-07-09,56.1,63.7,47.9,57.2,53.1
2021-09,2021-09-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80489,2021-09,2026-07-09,53.9,54.3,51.4,56.7,52.9
2021-10,2021-10-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80490,2021-10,2026-07-09,53.8,58.2,50.8,53.7,52.2
2021-11,2021-11-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80491,2021-11,2026-07-09,53.9,59.3,57.0,49.7,52.3
2018-08,2018-08-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80452,2018-08,2026-07-09,51.1,57.1,48.3,57.2,45.8
2018-09,2018-09-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80453,2018-09,2026-07-09,53.4,48.9,47.1,50.8,58.2
2018-10,2018-10-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80454,2018-10,2026-07-09,54.1,55.6,48.6,57.7,52.7
2018-11,2018-11-01,Banco Central del Ecuador,BCE/SECTOR_REAL/INDICE_EXPECTATIVAS_ECONOMICAS,80455,2018-11,2026-07-09,53.5,59.9,55.8,46.0,53.0
