encuesta,periodo_original,anio_fiscal,mes_fiscal,nombre_indicador,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion,metricas_nacional_total,metricas_area_urbana,metricas_area_rural,metricas_sexo_hombre,metricas_sexo_mujer
ENEMDU,sep-15,2015,9,Empleo Adecuado/Pleno,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15288,2015-09_empleoadecuadopleno,2026-07-09,3495965,2793417,702548,2331221,1164744
ENEMDU,sep-15,2015,9,Subempleo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15289,2015-09_subempleo,2026-07-09,1121988,688122,433866,668351,453637
ENEMDU,mar-18,2018,3,Empleo no remunerado,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15472,2018-03_empleonoremunerado,2026-07-09,831628,275624,556004,250699,580929
ENEMDU,mar-18,2018,3,Otro Empleo no pleno,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15473,2018-03_otroempleonopleno,2026-07-09,2096972,1168609,928363,1151985,944987
ENEMDU,mar-18,2018,3,Empleo no clasificado,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15474,2018-03_empleonoclasificado,2026-07-09,19073,18147,925,12961,6112
ENEMDU,mar-18,2018,3,Desempleo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15475,2018-03_desempleo,2026-07-09,362051,309232,52819,163789,198262
ENEMDU,mar-18,2018,3,Desempleo Abierto,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15476,2018-03_desempleoabierto,2026-07-09,327391,285326,42065,148657,178734
ENEMDU,mar-18,2018,3,Desempleo Oculto,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15477,2018-03_desempleooculto,2026-07-09,34660,23906,10754,15133,19527
ENEMDU,mar-18,2018,3,Desempleo Cesante,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15478,2018-03_desempleocesante,2026-07-09,273577,239316,34262,129964,143614
ENEMDU,dic-07,2007,12,Poblaciï¿½n Total,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14959,2007-12_poblacintotal,2026-07-09,13682302,9066209,4616093,6768646,6913656
ENEMDU,dic-07,2007,12,Poblaciï¿½n menor de 15 aï¿½os,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14960,2007-12_poblacinmenorde15aos,2026-07-09,4372812,2723124,1649688,2226618,2146194
ENEMDU,dic-07,2007,12,Poblaciï¿½n en Edad de Trabajar (PET),Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14961,2007-12_poblacinenedaddetrabajarpet,2026-07-09,9309490,6343085,2966404,4542028,4767462
ENEMDU,dic-07,2007,12,Poblaciï¿½n Econï¿½micamente Activa,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,14962,2007-12_poblacineconmicamenteactiva,2026-07-09,6336029,4227702,2108328,3777232,2558798
ENEMDU,mar-18,2018,3,Desempleo Nuevo,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15479,2018-03_desempleonuevo,2026-07-09,88474,69916,18558,33826,54648
ENEMDU,mar-18,2018,3,Poblaciï¿½n Econï¿½micamente Inactiva,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15480,2018-03_poblacineconmicamenteinactiva,2026-07-09,3820422,2897661,922761,1083965,2736457
ENEMDU,jun-18,2018,6,Poblaciï¿½n Total,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15481,2018-06_poblacintotal,2026-07-09,17054523,11625674,5428849,8440141,8614382
ENEMDU,jun-18,2018,6,Poblaciï¿½n menor de 15 aï¿½os,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15482,2018-06_poblacinmenorde15aos,2026-07-09,5030677,3254082,1776595,2570624,2460053
ENEMDU,jun-18,2018,6,Poblaciï¿½n en Edad de Trabajar (PET),Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15483,2018-06_poblacinenedaddetrabajarpet,2026-07-09,12023846,8371592,3652255,5869517,6154329
ENEMDU,jun-18,2018,6,Poblaciï¿½n Econï¿½micamente Activa,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/ENEMDU/TABULADOS_1_POBLACIONES,15484,2018-06_poblacineconmicamenteactiva,2026-07-09,7978870,5290872,2687997,4628190,3350679
