anio_censo,provincia,canton,sexo,rango_edad,total_ocupados,fuente,ruta_logica,id_rpa,dato_clave,fecha_extraccion,grupos_ocupacion_ocupaciones_militares,grupos_ocupacion_directores_gerentes,grupos_ocupacion_profesionales_cientificos,grupos_ocupacion_tecnicos_medio_nivel,grupos_ocupacion_personal_apoyo_admin,grupos_ocupacion_trabajadores_servicios,grupos_ocupacion_agricultores_calificados,grupos_ocupacion_oficiales_operarios_artes,grupos_ocupacion_operadores_maquinaria,grupos_ocupacion_ocupaciones_elementales,grupos_ocupacion_no_especificado
2022,Morona Santiago,Taisha,Total Taisha,Total Taisha,1,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,36557,2022_moronasantiago_taisha_totaltaisha_totaltaisha,2026-07-09,830,27,34,493,76,101,265,231,101,72,220
2022,Napo,Tena,Mujeres,De 50-54,851,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,36813,2022_napo_tena_mujeres_de5054,2026-07-09,0,20,233,29,30,206,66,25,7,134,101
2022,Napo,Tena,Mujeres,De 55-59,705,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,36814,2022_napo_tena_mujeres_de5559,2026-07-09,0,10,186,46,20,150,41,13,2,118,119
2022,Napo,Tena,Mujeres,De 60-64,387,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,36815,2022_napo_tena_mujeres_de6064,2026-07-09,0,7,47,15,15,97,31,11,1,64,99
2022,Napo,Tena,Mujeres,De 65-69,211,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,36816,2022_napo_tena_mujeres_de6569,2026-07-09,0,3,1,7,3,53,26,4,1,24,89
2022,Napo,Quijos,Hombres,De 45-49,154,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,36940,2022_napo_quijos_hombres_de4549,2026-07-09,1,1,10,13,5,25,26,19,32,19,3
2022,Napo,Quijos,Hombres,De 50-54,168,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,36941,2022_napo_quijos_hombres_de5054,2026-07-09,0,4,21,9,4,25,30,28,20,18,9
2022,Napo,Quijos,Hombres,De 55-59,116,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,36942,2022_napo_quijos_hombres_de5559,2026-07-09,0,1,16,3,1,22,27,7,18,19,2
2022,Napo,Quijos,Hombres,De 60-64,105,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,36943,2022_napo_quijos_hombres_de6064,2026-07-09,0,2,7,7,2,11,28,12,15,17,4
2022,Napo,Quijos,Hombres,De 65-69,38,Instituto Nacional de EstadÃ­stica y Censos (INEC),INEC/CENSO_2022/GRUPOS_OCUPACION,36944,2022_napo_quijos_hombres_de6569,2026-07-09,0,0,0,1,1,5,11,5,11,4,0
