anio_lectivo,amie,nombre_institucion,provincia,cod_provincia,canton,cod_canton,nivel_educacion,sostenimiento,total_estudiantes,bach_3_masculino,bach_3_femenino,provincia_normalizada,canton_normalizado,bachilleres_3ro
2023-2024 INICIO,24H00025,UNIDAD EDUCATIVA TEODORO WOLF,SANTA ELENA,24,SANTA ELENA,2401,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,3049,80,150,SANTA ELENA,SANTA ELENA,230
2023-2024 INICIO,13H02497,UNIDAD EDUCATIVA TERESA DE CALCUTA,MANABI,13,MANTA,1308,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",PARTICULAR,1891,67,86,MANABI,MANTA,153
2023-2024 INICIO,18H00110,UNIDAD EDUCATIVA TERESA FLOR,TUNGURAHUA,18,AMBATO,1801,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,2225,56,107,TUNGURAHUA,AMBATO,163
2023-2024 INICIO,06H00221,UNIDAD EDUCATIVA THE BRITISH SCHOOL,CHIMBORAZO,6,RIOBAMBA,601,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",PARTICULAR,548,10,11,CHIMBORAZO,RIOBAMBA,21
2023-2024 INICIO,17H01016,UNIDAD EDUCATIVA THEODORE W ANDERSON,PICHINCHA,17,QUITO,1701,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",PARTICULAR,252,16,17,PICHINCHA,QUITO,33
2023-2024 INICIO,17H02589,UNIDAD EDUCATIVA TIBERIO PATIÑO TRUJILLO,PICHINCHA,17,PUERTO QUITO,1709,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,412,7,4,PICHINCHA,PUERTO QUITO,11
2023-2024 INICIO,22H00152,UNIDAD EDUCATIVA TIGUINO,ORELLANA,22,ORELLANA,2201,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,139,6,3,ORELLANA,ORELLANA,9
2023-2024 INICIO,11H00851,UNIDAD EDUCATIVA TIOPAMBA,LOJA,11,ESPINDOLA,1106,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,110,3,4,LOJA,ESPINDOLA,7
2023-2024 INICIO,22H00535,UNIDAD EDUCATIVA TIPUTINI,ORELLANA,22,AGUARICO,2202,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,737,16,20,ORELLANA,AGUARICO,36
2023-2024 INICIO,18H00212,UNIDAD EDUCATIVA TIRSO DE MOLINA,TUNGURAHUA,18,AMBATO,1801,EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO,FISCOMISIONAL,1858,74,93,TUNGURAHUA,AMBATO,167
2023-2024 INICIO,13H01041,UNIDAD EDUCATIVA TIWINTZA,MANABI,13,CHONE,1303,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,280,6,7,MANABI,CHONE,13
2023-2024 INICIO,06H00783,UNIDAD EDUCATIVA TNTE CORONEL JOHN MERINO BARRENO,CHIMBORAZO,6,COLTA,603,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,100,8,2,CHIMBORAZO,COLTA,10
2023-2024 INICIO,05H00221,UNIDAD EDUCATIVA TOACASO,COTOPAXI,5,LATACUNGA,501,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,1753,70,71,COTOPAXI,LATACUNGA,141
2023-2024 INICIO,20H00033,UNIDAD EDUCATIVA TOMAS DE BERLANGA,GALAPAGOS,20,SANTA CRUZ,2003,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",PARTICULAR,163,0,8,GALAPAGOS,SANTA CRUZ,8
2023-2024 INICIO,18H00294,UNIDAD EDUCATIVA TOMAS MARTINEZ,TUNGURAHUA,18,AMBATO,1801,"EDUCACIÓN INICIAL, EDUCACIÓN GENERAL BÁSICA Y BACHILLERATO",FISCAL,296,16,11,TUNGURAHUA,AMBATO,27
